irn,EventID,Type,Status,Title,Section,Commenced,Completed,Description,Locality,Organizer,Curator,Designer,ObjectIDs
3401,EX1889.2,Exhibition,Completed,"Etchings","The residence of Mrs. May Wright Sewall",1889-02-12,1889-02-14,"",Internal,"","","",
3420,EX1889.3,Exhibition,Completed,"6th Annual Exhibition of the Art Association of Indianapolis","Masonic Hall, Indianapolis, Indiana",1889-04-23,1889-05-13,"",Internal,"","","",14113 | 
3424,EX1889.4,Exhibition,Completed,"Shawls and Artistic Embroideries","The residence of Mrs. J. F. Pratt",1889-04-09,1889-04-11,"",Internal,"","","",
3394,EX1890.1,Exhibition,Completed,"Pottery and Drawings loaned from the Century Company, New York.","The residence of Miss Mary Dean",1890-12-11,1890-12-13,"",Internal,"","","",
3402,EX1890.2,Exhibition,Completed,"Watercolors and Embroideries","The residence of Mrs. Theodore P. Haughey",1890-02-12,1890-02-14,"",Internal,"","","",
3421,EX1890.3,Exhibition,Completed,"7th Annual Exhibition of the Art Association of Indianapolis.  ,","Masonic Hall, Indianapolis",1890-04-25,1890-05-17,"",Internal,"","","",22453 | 22452 | 32537 | 46898 | 31170 | 33436 | 
3422,EX1890.4,Exhibition,Completed,"First Quarterly Exhibition of Indiana Art Association under the Direction of the Indiana School of Art, Indianapolis","",1890-04-25,,"",Internal,"","","",16097 | 
3387,EX1891.1,Exhibition,Completed,"Casts","Art School Rooms, Indianapolis",1891-11-01,1891-11-01,"",Internal,"","","",
3399,EX1891.2,Exhibition,Completed,"Exhibit and Sale of Pottery","The Propylaeum, Indianapolis",1891-12-08,1891-12-13,"",Internal,"","","",
3400,EX1891.3,Exhibition,Completed,"Casts, Wood Carvings, and Needlework","The Propylaeum, Indianapolis",1891-02-11,1891-02-13,"",Internal,"","","",
3416,EX1891.4,Exhibition,Completed,"8th Annual Exhibition of the Art Association of Indianapolis","The Propylaeum, Indianapolis",1891-04-14,1891-05-05,"",Internal,"","","",3379 | 20159 | 22452 | 
3384,EX1892.1,Exhibition,Completed,"Architectural Drawings","The Propylaeum, Indianapolis",1892-01-19,1892-01-21,"",Internal,"","","",
3407,EX1892.2,Exhibition,Completed,"The Munich School.  Mr. T.C. Steele","",1892-02-09,1892-02-09,"",Internal,"","","",
3412,EX1892.3,Exhibition,Completed,"Decorative Fabrics from the Factory of Wm. Morris","The Propylaeum, Indianapolis",1892-03-07,1892-03-13,"",Internal,"","","",
3415,EX1892.4,Exhibition,Completed,"9th Annual Exhibition of the Art Association of Indianapolis","The Propylaeum, Indianapolis",1892-04-12,1892-05-15,"",Internal,"","","",3379 | 3881 | 17621 | 20159 | 21034 | 22760 | 22452 | 14113 | 37383 | 46898 | 32213 | 16482 | 33436 | 22453
3396,EX1893.1,Exhibition,Completed,"Pottery","The residence of Mrs. Addison Bybee",1893-12-12,1893-12-12,"",Internal,"","","",
3405,EX1893.2,Exhibition,Completed,"Loan Exhibit of Artistic and Historic Objects","The Propylaeum, Indianapolis",1893-02-06,1893-02-11,"",Internal,"","","",
3414,EX1893.3,Exhibition,Completed,"10th Annual Exhibition of the Art Association of Indianapolis","The Propylaeum, Indianapolis",1893-04-11,1893-04-27,"",Internal,"","","",22760 | 3881 | 22452 | 14113 | 37383 | 32537 | 46898 | 16482 | 33436 | 20159 | 22453 | 3379 | 32213 | 17621 | 27648 | 59220 | 52854 | 9596
3388,EX1894.1,Exhibition,Completed,"Summer Work in Oils and Watercolors of T.C. Steele, William Forsyth, R. B. Gruell, Otto Stark","Denison Hotel, Indianapolis",1894-11-13,1894-11-28,"",Internal,"","","",
3395,EX1894.2,Exhibition,Completed,"Dutch Studies and Canvases by Anton Mauve","Denison Hotel, Indianapolis",1894-12-11,1894-12-26,"",Internal,"","","",
3428,EX1894.3,Exhibition,Completed,"11th Annual Exhibition of the Art Association of Indianapolis","The Propylaeum, Indianapolis",1894-05-14,1894-06-02,"",Internal,"","","",14113 | 22453 | 16482 | 46898 | 3379 | 33436 | 3881 | 17621 | 32213 | 20159 | 22452 | 37383 | 32537 | 22760 | 27648 | 9596 | 20539
3385,EX1895.1,Exhibition,Completed,"Exhibition of Paintings by L. H. Meakin, J. Ottis Adams, T.C. Steele, William G. Perkins, and Otto Stark","Denison Hotel, Indianapolis",1895-01-22,1895-01-22,"",Internal,"","","",
3408,EX1895.2,Exhibition,Completed,"Students' Work from Indiana Art Schools","",1895-03-12,1895-03-27,"",Internal,"","","",
3427,EX1895.3,Exhibition,Completed,"12th Annual Exhibition of the Art Association of Indianapolis","82 1/2 North Pennsylvania St., Indianapolis",1895-05-11,1895-05-18,"",Internal,"","","",22760 | 3881 | 14113 | 37383 | 32537 | 46898 | 16482 | 33436 | 20159 | 22453 | 3379 | 32213 | 17621 | 27648 | 9596 | 27930
3426,EX1896.1,Exhibition,Completed,"13th Annual Exhibition of the Art Association of Indianapolis","The Propylaeum, Indianapolis",1896-05-01,1896-05-24,"",Internal,"","","",46899 | 22760 | 3881 | 22452 | 14113 | 37383 | 32537 | 46898 | 16482 | 33436 | 20159 | 22453 | 3379 | 17621 | 27648 | 9596
3406,EX1897.1,Exhibition,Completed,"Recent Work of Home Artists","The Propylaeum, Indianapolis",1897-02-06,1897-02-14,"",Internal,"","","",8487 | 432
3411,EX1897.2,Exhibition,Completed,"1st Annual Exhibition of the Society of Western Artists and being the 14th Annual Exhibition of the Art Association of Indianapolis.","The Propylaeum, Indianapolis",1897-03-05,1897-03-19,"",Internal,"","","",
3430,EX1897.3,Exhibition,Completed,"Wood Carving and Decorated China from Purdue University","The Propylaeum, Indianapolis",1897-06-10,1897-06-11,"",Internal,"","","",
3383,EX1898.1,Exhibition,Completed,"Recent Work of Home Artists","The Propylaeum, Indianapolis",1898-01-15,1898-01-22,"",Internal,"","","",
3410,EX1898.2,Exhibition,Completed,"2nd Annual Exhibition of the Society of Western Artists and being the 15th Annual Exhibition of the Art Association of Indianapolis","The Propylaeum, Indianapolis",1898-03-19,1898-04-03,"",Internal,"","","",22871
3418,EX1898.3,Exhibition,Completed,"First Exhibition of Arts and Crafts","High School Bldg in Indianapolis",1898-04-15,1898-04-23,"",Internal,"","","",
3404,EX1899.1,Exhibition,Completed,"3rd Annual Exhibition of the Society of Western Artists and being the 16th Annual Exhibition of the Art Association of Indianapolis","The Propylaeum, Indianapolis",1899-02-03,1899-02-12,"",Internal,"","","",58927
146,EX1900.1,Exhibition,Completed,"4th Annual Exhibition of the Society of Western Artists and being the 17th Annual Exhibition of the Art Association of Indianapolis","H. Lieber Galleries, Indianapolis",1900-01-08,1900-01-21,"",Internal,"","","",83876
147,EX1901.1,Exhibition,Completed,"5th Annual Exhibition of the Society of Western Artists and being the 18th Annual Exhibition of the Art Association of Indianapolis","H. Lieber Galleries, Indianapolis",1901-03-25,1901-04-09,"",Internal,"","","",22871
148,EX1902.1,Exhibition,Completed,"Six Paintings loaned by Arthur Tooth & Sons, New York","John Herron Art Institute",1902-03-03,1902-03-22,"",Internal,"","","",
149,EX1902.2,Exhibition,Completed,"Paintings by Charles H. Woodbury","John Herron Art Institute",1902-04-04,1902-04-28,"",Internal,"","","",
150,EX1902.3,Exhibition,Completed,"6th Annual Exhibition of the Society of Western Artists and being the 19th Annual Exhibition of the Art Association of Indianapolis","John Herron Art Institute",1902-05-06,1902-05-27,"",Internal,"","","",26608
151,EX1902.4,Exhibition,Completed,"Association of American Illustrators","John Herron Art Institute",1902-06-01,1902-06-30,"",Internal,"","","",
152,EX1902.5,Exhibition,Completed,"1st Annual Art School Exhibit","John Herron Art Institute",1902-06-03,1902-06-07,"",Internal,"","","",
153,EX1902.6,Exhibition,Completed,"Press Artists League:  First Annual Loan and Sale Exhibition of Original Drawings","John Herron Art Institute",1902-11-12,1902-11-16,"",Internal,"","","",
154,EX1902.7,Exhibition,Completed,"Paintings by A. E. Albright:  Pictures of Country Children","John Herron Art Institute",1902-11-25,1902-12-03,"",Internal,"","","",
155,EX1902.8,Exhibition,Completed,"Indiana Keramic Club Exhibition","John Herron Art Institute",1902-12-01,1902-12-31,"",Internal,"","","",
156,EX1903.1,Exhibition,Completed,"7th Annual Exhibition of the Society of Western Artists and being the 20th Annual Exhibition of the Art Association of Indianapolis","John Herron Art Institute",1903-02-10,1903-02-24,"",Internal,"","","",15352 | 15834 | 21028
157,EX1903.2,Exhibition,Completed,"The Photographic Club of the Art Association of Indianapolis: 1st Members Exhibit","John Herron Art Institute",1903-03-06,1903-03-17,"",Internal,"","","",
158,EX1903.3,Exhibition,Completed,"Water Colors by Henry B. Snell","John Herron Art Institute",1903-03-26,1903-04-16,"",Internal,"","","",
159,EX1903.4,Exhibition,Completed,"2nd Annual Art School Exhibit","John Herron Art Institute",1903-06-02,1903-06-06,"",Internal,"","","",
160,EX1903.5,Exhibition,Completed,"Art Association Exhibition","John Herron Art Institute",1903-09-21,1903-10-12,"",Internal,"","","",
161,EX1904.1,Exhibition,Completed,"2nd Annual Exhibit of the Photographic Club of the Art Association","John Herron Art Institute",1904-02-26,1904-03-06,"",Internal,"","","",
162,EX1904.2,Exhibition,Completed,"Water Color Paintings of Hachiro Nakagawa","John Herron Art Institute",1904-03-08,1904-03-23,"",Internal,"","","",46921 | 46923 | 46684
163,EX1904.3,Exhibition,Completed,"A Collection of Paintings and Illustrations by Howard Pyle, Esq.","John Herron Art Institute",1904-04-08,1904-04-26,"",Internal,"","","",
164,EX1904.4,Exhibition,Completed,"3rd Annual Art School Exhibit","John Herron Art Institute",1904-05-01,1904-05-30,"",Internal,"","","",
165,EX1904.5,Exhibition,Completed,"Albert Matzke","John Herron Art Institute",1904-06-20,,"",Internal,"","","",
166,EX1904.6,Exhibition,Completed,"Photographic Club Annual Exhibit","John Herron Art Institute",1904-11-18,1904-11-27,"",Internal,"","","",
167,EX1904.7,Exhibition,Completed,"Indiana Keramic Society","John Herron Art Institute",1904-12-05,1904-12-10,"",Internal,"","","",
168,EX1905.1,Exhibition,Completed,"9th Annual Exhibition of the Society of Western Artists and being the 21st Annual Exhibition of the Art Association of Indianapolis","John Herron Art Institute",1905-02-07,1905-02-26,"",Internal,"","","",21028
169,EX1905.2,Exhibition,Completed,"Fenollosa Collection of Japanese and Chinese Paintings","John Herron Art Institute",1905-03-21,1905-03-31,"",Internal,"","","",
170,EX1905.3,Exhibition,Completed,"Special Exhibition of Watercolors by Members of the Americna Water Color Society","John Herron Art Institute",1905-05-06,1905-05-23,"",Internal,"","","",22151
171,EX1905.4,Exhibition,Completed,"4th Annual Art School Exhibit","John Herron Art Institute",1905-05-26,1905-06-06,"",Internal,"","","",
172,EX1906.1,Exhibition,Completed,"Inaugural Exhibition","John Herron Art Institute",1906-11-20,1906-12-31,"",Internal,"","","",8563 | 10922 | 26608 | 22533 | 30013 | 13858 | 5879 | 20744 | 46697 | 5854 | 13698 | 46994 | 27818 | 32977 | 19812 | 18637 | 35089 | 19315 | 16356 | 7526 | 16621
173,EX1907.1,Exhibition,Completed,"Third American Photographic Salon","John Herron Art Institute",1907-01-20,1907-01-31,"",Internal,"","","",
174,EX1907.2,Exhibition,Completed,"The Collier Collection of Original Drawings and Paintings by Distinguished American Painters and Illustrators","John Herron Art Institute",1907-02-02,1907-02-23,"",Internal,"","","",
175,EX1907.3,Exhibition,Completed,"Oriental Rugs","John Herron Art Institute",1907-02-11,1907-02-17,"",Internal,"","","",
176,EX1907.4,Exhibition,Completed,"11th Annual Exhibition of the Society of Western Artists and being the 22nd Annual Exhibition of the Art Association of Indianapolis","John Herron Art Institute",1907-03-03,1907-03-24,"",Internal,"","","",20788
177,EX1907.5,Exhibition,Completed,"Exhibition of Paintings by Charles Caryl Coleman","John Herron Art Institute",1907-03-27,1907-04-16,"",Internal,"","","",
178,EX1907.6,Exhibition,Completed,"Exhibition of Contemporary German Paintings","John Herron Art Institute",1907-03-31,1907-04-28,"",Internal,"","","",
179,EX1907.7,Exhibition,Completed,"Paintings by contemporary Norwegian Artists","John Herron Art Institute",1907-05-12,1907-06-09,"",Internal,"","","",
180,EX1907.8,Exhibition,Completed,"Paintings by Charles Morris Young.","John Herron Art Institute",1907-05-12,1907-08-30,"",Internal,"","","",
181,EX1907.9,Exhibition,Completed,"5th Annual Exhibition of the Work of  the Art School","John Herron Art Institute",1907-05-28,1907-06-02,"",Internal,"","","",
182,EX1907.10,Exhibition,Completed,"Collection of the Art Association of Indianapolis","John Herron Art Institute",1907-06-05,1907-08-30,"",Internal,"","","",
183,EX1907.11,Exhibition,Completed,"Boutet de Monvel, Alfred Prunaire and others.","John Herron Art Institute",1907-10-31,1907-12-02,"",Internal,"","","",
184,EX1907.12,Exhibition,Completed,"23rd Annual Exhibit of the Art Association of Indianapolis","John Herron Art Institute",1907-12-08,1908-01-02,"",Internal,"","","",26361 | 13077 | 25008 | 7210 | 20535 | 20564 | 21438 | 36171 | 21590 | 30461 | 10889 | 21434 | 35177 | 49067
185,EX1908.1,Exhibition,Completed,"4th American Photographic Salon at Principal Cities","John Herron Art Institute",1908-01-08,1908-01-27,"",Internal,"","","",
186,EX1908.2,Exhibition,Completed,"12th Annual Exhibition of the Society of Western Artists","John Herron Art Institute",1908-02-02,1908-02-23,"",Internal,"","","",46923 | 46921
187,EX1908.3,Exhibition,Completed,"Loan Collection of works by foreign and contemporary painters.","John Herron Art Institute",1908-02-24,1908-03-03,"",Internal,"","","",
188,EX1908.4,Exhibition,Completed,"Lendall Pitts, George R. Barse, Jr., Eugene Paul Ullman and R. Tait McKenzie","John Herron Art Institute",1908-03-07,1908-03-30,"",Internal,"","","",9347 | 37053 | 47028
189,EX1908.5,Exhibition,Completed,"A Collection of Paintings, Drawings, and Works of Sculpture by Resident Indiana Artists","John Herron Art Institute",1908-04-03,1908-05-04,"",Internal,"","","",49067 | 1163
190,EX1908.6,Exhibition,Completed,"A Collection of Paintings by Hermann Dudley Murphy","John Herron Art Institute",1908-04-03,1908-05-04,"",Internal,"","","",
191,EX1908.7,Exhibition,Completed,"A Collection of Paintings by Hugh H. Breckenridge","John Herron Art Institute",1908-04-03,1908-05-04,"",Internal,"","","",
192,EX1908.8,Exhibition,Completed,"Special Exhibition of Paintings by Elizabeth Wentworth Roberts","John Herron Art Institute",1908-04-23,1908-05-07,"",Internal,"","","",
193,EX1908.9,Exhibition,Completed,"Pictures of Indian Life, by J. H. Sharp","John Herron Art Institute",1908-05-02,1908-06-01,"",Internal,"","","",21028
194,EX1908.10,Exhibition,Completed,"Indianapolis Architects Exhibition","John Herron Art Institute",1908-05-09,1908-06-01,"",Internal,"","","",
195,EX1908.11,Exhibition,Completed,"6th Annual Exhibition of the Work of the Art School","John Herron Art Institute",1908-05-23,1908-06-01,"",Internal,"","","",
196,EX1908.12,Exhibition,Completed,"Works in the Permanent Collection","John Herron Art Institute",1908-06-06,1908-08-30,"",Internal,"","","",
197,EX1908.13,Exhibition,Completed,"The Tissot Bible Pictures","John Herron Art Institute",1908-09-05,1908-09-28,"",Internal,"","","",
198,EX1908.14,Exhibition,Completed,"Water Colors by the Chicago Water Color Club","John Herron Art Institute",1908-09-30,1908-10-26,"",Internal,"","","",
199,EX1908.15,Exhibition,Completed,"Fruits and Flowers by Cadurcis Plantagenet Ream","John Herron Art Institute",1908-09-30,1908-10-26,"",Internal,"","","",
200,EX1908.16,Exhibition,Completed,"The Tiger Cubs by Ada L. Stewart","John Herron Art Institute",1908-09-30,1908-10-26,"",Internal,"","","",
201,EX1908.17,Exhibition,Completed,"Persian Textiles and Ornaments","John Herron Art Institute",1908-09-30,1908-10-26,"",Internal,"","","",
202,EX1908.18,Exhibition,Completed,"Pen and Ink Drawings, Lithographs and Etchings by Joseph Pennell","John Herron Art Institute",1908-10-28,1908-11-30,"",Internal,"","","",17088 | 4594 | 13812 | 89401 | 21590
203,EX1908.19,Exhibition,Completed,"Pictures by Old Painters, and Copies of Old Masterpieces, Fine Books and Book Bindings","John Herron Art Institute",1908-10-28,1908-11-30,"",Internal,"","","",
204,EX1908.20,Exhibition,Completed,"The Wood-Engravings of Timothy Cole: Italian, Dutch, English and Spanish Masters Made for The Century Magazine","John Herron Art Institute",1908-11-01,1908-11-30,"",Internal,"","","",
205,EX1908.21,Exhibition,Completed,"Venice in Oil and Water Color: Paintings by Herbert W. Faulkner","John Herron Art Institute",1908-11-15,1908-11-30,"",Internal,"","","",11914
206,EX1908.22,Exhibition,Completed,"24th Annual Exhibition of the Art Association of Indianapolis","John Herron Art Institute",1908-12-06,1909-01-04,"",Internal,"","","",3449 | 21432 | 25056 | 47080 | 
207,EX1909.1,Exhibition,Completed,"Pictures by *The Eight* American Painters","John Herron Art Institute",1909-01-06,1909-01-31,"",Internal,"","","",
208,EX1909.2,Exhibition,Completed,"Pictures of the Chateaux Country by Alson S. Clark","John Herron Art Institute",1909-01-06,1909-01-31,"",Internal,"","","",
209,EX1909.3,Exhibition,Completed,"Studies of Animals in Charcoal, Crayon and Pencil by Josephine Pitkin","John Herron Art Institute",1909-01-06,1909-01-31,"",Internal,"","","",
210,EX1909.4,Exhibition,Completed,"American Etchings","John Herron Art Institute",1909-02-03,1909-02-28,"",Internal,"","","",
211,EX1909.5,Exhibition,Completed,"Exhibit of Chinese Art","John Herron Art Institute",1909-02-03,1909-02-28,"",Internal,"","","",
212,EX1909.6,Exhibition,Completed,"2nd Annual Indiana Artists' Exhibit","John Herron Art Institute",1909-02-03,1909-02-28,"",Internal,"","","",2327
213,EX1909.7,Exhibition,Completed,"A. W. Drake Collection of Samplers","John Herron Art Institute",1909-03-03,1909-03-28,"",Internal,"","","",3851 | 8563
214,EX1909.8,Exhibition,Completed,"Loan collection of Book-Plates","John Herron Art Institute",1909-03-03,1909-03-28,"",Internal,"","","",
215,EX1909.9,Exhibition,Completed,"William Merrit Chase's paintings","John Herron Art Institute",1909-03-03,1909-03-28,"",Internal,"","","",17602 | 3851 | 
216,EX1909.10,Exhibition,Completed,"13th Annual Exhibition of the Society of Western Artists","John Herron Art Institute",1909-03-31,1909-05-03,"",Internal,"","","",9538
217,EX1909.11,Exhibition,Completed,"Portraits by Miss Beth S. Driggs","John Herron Art Institute",1909-03-31,1909-05-03,"",Internal,"","","",
218,EX1909.12,Exhibition,Completed,"Textiles and Copper, Pewter and Brass Utensils on Loan from Miss Mary E. Nicholson and Miss Charity Dye","John Herron Art Institute",1909-03-31,1909-05-03,"",Internal,"","","",
219,EX1909.13,Exhibition,Completed,"Metalwork and Pottery by Brandt Steele","John Herron Art Institute",1909-03-31,1909-05-03,"",Internal,"","","",
220,EX1909.14,Exhibition,Completed,"Decorative Ceramics by Alice Ross Hadley","John Herron Art Institute",1909-03-31,1909-05-03,"",Internal,"","","",
221,EX1909.15,Exhibition,Completed,"Japanese Prints","John Herron Art Institute",1909-03-31,1909-05-03,"",Internal,"","","",
222,EX1909.16,Exhibition,Completed,"Paintings of Egypt and Italy, by Joseph Lindon Smith","John Herron Art Institute",1909-04-28,1909-05-07,"",Internal,"","","",
223,EX1909.17,Exhibition,Completed,"Paintings lent by members of the Art Association","John Herron Art Institute",1909-04-28,1909-05-07,"",Internal,"","","",
224,EX1909.18,Exhibition,Completed,"Brownell Gift of Old Engravings and Etchings","John Herron Art Institute",1909-04-28,1909-05-07,"",Internal,"","","",
225,EX1909.19,Exhibition,Completed,"5th American Photographic Salon","John Herron Art Institute",1909-05-08,1909-05-30,"",Internal,"","","",
226,EX1909.20,Exhibition,Completed,"1st Indiana Photographic Salon","John Herron Art Institute",1909-05-09,1909-05-31,"",Internal,"","","",
227,EX1909.21,Exhibition,Completed,"Paintings by Patty Thum","John Herron Art Institute",1909-05-10,1909-05-30,"",Internal,"","","",
228,EX1909.22,Exhibition,Completed,"7th Annual Exhibition of the Work of the Art School","John Herron Art Institute",1909-05-30,1909-06-07,"",Internal,"","","",
229,EX1909.23,Exhibition,Completed,"New York Illustrators","John Herron Art Institute",1909-10-02,1909-11-01,"",Internal,"","","",
230,EX1909.24,Exhibition,Completed,"Oils and Water Colors by Sue M. Ketcham","John Herron Art Institute",1909-10-09,1909-11-01,"",Internal,"","","",
231,EX1909.25,Exhibition,Completed,"Hemingway collection","John Herron Art Institute",1909-10-16,1909-11-01,"",Internal,"","","",
232,EX1909.26,Exhibition,Completed,"Pastels by Charles S. Kaelin","John Herron Art Institute",1909-10-23,1909-11-15,"",Internal,"","","",
233,EX1909.27,Exhibition,Completed,"6th American Photographic Salon","John Herron Art Institute",1909-11-06,1909-11-29,"",Internal,"","","",
234,EX1909.28,Exhibition,Completed,"Augustus Saint-Gaudens Memorial Exhibition","John Herron Art Institute",1909-12-19,1910-03-31,"",Internal,"","","",14718 | 7605 | 5053
235,EX1909.29,Exhibition,Completed,"25th Annual Exhibition of the Art Association of Indianapolis and being the Fifth Annual Exhibition of Works by American Artists","John Herron Art Institute",1909-12-25,1910-01-31,"",Internal,"","","",87369 | 
236,EX1910.1,Exhibition,Completed,"George C. Calvert's Collection of Etchings","John Herron Art Institute",1910-01-08,1910-01-31,"",Internal,"","","",33631 | 11740 | 322
237,EX1910.2,Exhibition,Completed,"Retrospective exhibition of the paintings of Theodore C. Steele","John Herron Art Institute",1910-02-05,1910-02-28,"",Internal,"","","",33631
238,EX1910.3,Exhibition,Completed,"A Collection of Oil Paintings by H. H. Gallison","John Herron Art Institute",1910-02-05,1910-02-28,"",Internal,"","","",
239,EX1910.4,Exhibition,Completed,"14th Annual Exhibition of the Society of Western Artists","John Herron Art Institute",1910-03-05,1910-03-28,"",Internal,"","","",49069 | 31457 | 13790 | 29107
240,EX1910.5,Exhibition,Completed,"Special Exhibition of Paintings by Henry Golden Dearth, Louis Paul Dessar, & Charles H. Woodbury","John Herron Art Institute",1910-04-02,1910-05-02,"",Internal,"","","",21029
241,EX1910.6,Exhibition,Completed,"Paintings by James Craig Nicholl","John Herron Art Institute",1910-04-02,1910-05-02,"",Internal,"","","",
242,EX1910.7,Exhibition,Completed,"3rd Annual Indiana Artists Exhibition","John Herron Art Institute",1910-05-07,1910-06-08,"",Internal,"","","",
243,EX1910.8,Exhibition,Completed,"Reproductions of Etchings by James McNeill Whistler, from the Grolier Club catalogue","John Herron Art Institute",1910-05-17,1910-08-31,"",Internal,"","","",
244,EX1910.9,Exhibition,Completed,"The Reid Collection of Examples of French and Italian Decorative Art","John Herron Art Institute",1910-05-29,1910-10-31,"",Internal,"","","",
245,EX1910.10,Exhibition,Completed,"8th Annual Exhibition of the Work of the Art School","John Herron Art Institute",1910-06-01,1910-06-05,"",Internal,"","","",
246,EX1910.11,Exhibition,Completed,"A loan collection of old masters and old prints","John Herron Art Institute",1910-06-08,1910-07-11,"",Internal,"","","",
247,EX1910.12,Exhibition,Completed,"Paintings by Elizabeth Wentworth Roberts","John Herron Art Institute",1910-06-08,1910-10-31,"",Internal,"","","",
248,EX1910.13,Exhibition,Completed,"Paintings by Charles Peter Bock and Frank Reaugh","John Herron Art Institute",1910-06-08,1910-10-31,"",Internal,"","","",
249,EX1910.14,Exhibition,Completed,"The Indiana Circuit Exhibition of Oils, Water Colors, Pastels, and Bronzes","Traveling Exhibit",1910-07-11,1910-10-02,"",Internal,"","","",48769 | 30743
250,EX1910.15,Exhibition,Completed,"Special Exhibition of Paintings by William Henry Lippincott","John Herron Art Institute",1910-10-08,1910-11-16,"",Internal,"","","",
251,EX1910.16,Exhibition,Completed,"A Loan Collection of Japanese and Chinese Objects of Art","John Herron Art Institute",1910-11-07,1911-01-01,"",Internal,"","","",
252,EX1910.17,Exhibition,Completed,"Seventh American Photographic Salon","John Herron Art Institute",1910-11-09,1910-11-27,"",Internal,"","","",
253,EX1910.18,Exhibition,Completed,"15th Annual Exhibition of the Society of Western Artists","John Herron Art Institute",1910-12-03,1910-12-25,"",Internal,"","","",3621 | 71710 | 31457 | 
254,EX1910.19,Exhibition,Completed,"26th Annual Exhibition of the Art Association of Indianapolis being the 6th Annual Exhibition of Works by American Artists.","John Herron Art Institute",1910-12-03,1911-01-01,"",Internal,"","","",32552 | 
255,EX1910.20,Exhibition,Completed,"Materials and Features of the Printed Book","John Herron Art Institute",1910-12-17,1911-01-31,"",Internal,"","","",
256,EX1911.1,Exhibition,Completed,"The Work of American Illustrators","John Herron Art Institute",1911-01-01,1911-01-15,"",Internal,"","","",
257,EX1911.2,Exhibition,Completed,"Henry Rankin Poore: Paintings","John Herron Art Institute",1911-01-08,1911-02-26,"",Internal,"","","",
