eevents_key,irn,AdmPublishWebNoPassword,EveEventNumber,EveTypeOfEvent,EveExhibitionStatus,EveEventTitle,EveEventDescription,EveInternalOrExternalEvent,DatCommencementDate,DatCompletionDate,SecRecordStatus,AdmDateModified,,,,,,,,,,,,,
13,3397,Yes,EX1887.3,Exhibition,Completed,American Pottery,,Internal,1887-12-13,1887-12-13,,2/29/2016,,,,,,,,,,,,,
14,3413,Yes,EX1887.4,Exhibition,Completed,Original Designs and Rookwood Pottery,,Internal,1887-03-08,1887-03-08,,2/29/2016,,,,,,,,,,,,,
15,3419,Yes,EX1887.5,Exhibition,Completed,4th Annual Exhibition of the Art Association of Indianapolis,,Internal,1887-04-18,1887-05-17,,1/17/2017,,,,,,,,,,,,,
16,3393,Yes,EX1888.1,Exhibition,Completed,Pottery and China,,Internal,1888-12-11,1888-12-13,,2/29/2016,,,,,,,,,,,,,
17,3403,Yes,EX1888.2,Exhibition,Completed,English Pottery and Decorative Draperies,,Internal,1888-02-14,1888-02-14,,2/29/2016,,,,,,,,,,,,,
18,3429,Yes,EX1888.3,Exhibition,Completed,Collection of American Paintings: 5th Annual Exhibition of the Art Association of Indianapolis,,Internal,1888-05-09,1888-05-30,,9/15/2022,,,,,,,,,,,,,
19,3398,Yes,EX1889.1,Exhibition,Completed,Pottery,,Internal,1889-12-04,1889-12-06,,2/29/2016,,,,,,,,,,,,,
20,3401,Yes,EX1889.2,Exhibition,Completed,Etchings,,Internal,1889-02-12,1889-02-14,,2/29/2016,,,,,,,,,,,,,
21,3420,Yes,EX1889.3,Exhibition,Completed,6th Annual Exhibition of the Art Association of Indianapolis,,Internal,1889-04-23,1889-05-13,,1/17/2017,,,,,,,,,,,,,
22,3424,Yes,EX1889.4,Exhibition,Completed,Shawls and Artistic Embroideries,,Internal,1889-04-09,1889-04-11,,2/29/2016,,,,,,,,,,,,,
23,3394,Yes,EX1890.1,Exhibition,Completed,"Pottery and Drawings loaned from the Century Company, New York.",,Internal,1890-12-11,1890-12-13,,2/29/2016,,,,,,,,,,,,,
24,3402,Yes,EX1890.2,Exhibition,Completed,Watercolors and Embroideries,,Internal,1890-02-12,1890-02-14,,2/29/2016,,,,,,,,,,,,,
25,3421,Yes,EX1890.3,Exhibition,Completed,"7th Annual Exhibition of the Art Association of Indianapolis.  ,",,Internal,1890-04-25,1890-05-17,,5/10/2018,,,,,,,,,,,,,
26,3422,Yes,EX1890.4,Exhibition,Completed,"First Quarterly Exhibition of Indiana Art Association under the Direction of the Indiana School of Art, Indianapolis",,Internal,1890-04-25,,,5/20/2016,,,,,,,,,,,,,
27,3387,Yes,EX1891.1,Exhibition,Completed,Casts,,Internal,1891-11-01,1891-11-01,,2/29/2016,,,,,,,,,,,,,
28,3399,Yes,EX1891.2,Exhibition,Completed,Exhibit and Sale of Pottery,,Internal,1891-12-08,1891-12-13,,2/29/2016,,,,,,,,,,,,,
29,3400,Yes,EX1891.3,Exhibition,Completed,"Casts, Wood Carvings, and Needlework",,Internal,1891-02-11,1891-02-13,,2/29/2016,,,,,,,,,,,,,
30,3416,Yes,EX1891.4,Exhibition,Completed,8th Annual Exhibition of the Art Association of Indianapolis,,Internal,1891-04-14,1891-05-05,,10/3/2016,,,,,,,,,,,,,
31,3384,Yes,EX1892.1,Exhibition,Completed,Architectural Drawings,,Internal,1892-01-19,1892-01-21,,2/29/2016,,,,,,,,,,,,,
32,3407,Yes,EX1892.2,Exhibition,Completed,The Munich School.  Mr. T.C. Steele,,Internal,1892-02-09,1892-02-09,,2/29/2016,,,,,,,,,,,,,
33,3412,Yes,EX1892.3,Exhibition,Completed,Decorative Fabrics from the Factory of Wm. Morris,,Internal,1892-03-07,1892-03-13,,2/29/2016,,,,,,,,,,,,,
34,3415,Yes,EX1892.4,Exhibition,Completed,9th Annual Exhibition of the Art Association of Indianapolis,,Internal,1892-04-12,1892-05-15,,9/15/2022,,,,,,,,,,,,,
35,3396,Yes,EX1893.1,Exhibition,Completed,Pottery,,Internal,1893-12-12,1893-12-12,,2/29/2016,,,,,,,,,,,,,
36,3405,Yes,EX1893.2,Exhibition,Completed,Loan Exhibit of Artistic and Historic Objects,,Internal,1893-02-06,1893-02-11,,2/29/2016,,,,,,,,,,,,,
37,3414,Yes,EX1893.3,Exhibition,Completed,10th Annual Exhibition of the Art Association of Indianapolis,,Internal,1893-04-11,1893-04-27,,9/15/2022,,,,,,,,,,,,,
38,3388,Yes,EX1894.1,Exhibition,Completed,"Summer Work in Oils and Watercolors of T.C. Steele, William Forsyth, R. B. Gruell, Otto Stark",,Internal,1894-11-13,1894-11-28,,2/29/2016,,,,,,,,,,,,,
39,3395,Yes,EX1894.2,Exhibition,Completed,Dutch Studies and Canvases by Anton Mauve,,Internal,1894-12-11,1894-12-26,,2/29/2016,,,,,,,,,,,,,
40,3428,Yes,EX1894.3,Exhibition,Completed,11th Annual Exhibition of the Art Association of Indianapolis,,Internal,1894-05-14,1894-06-02,,9/15/2022,,,,,,,,,,,,,
41,3385,Yes,EX1895.1,Exhibition,Completed,"Exhibition of Paintings by L. H. Meakin, J. Ottis Adams, T.C. Steele, William G. Perkins, and Otto Stark",,Internal,1895-01-22,1895-01-22,,2/29/2016,,,,,,,,,,,,,
42,3408,Yes,EX1895.2,Exhibition,Completed,Students' Work from Indiana Art Schools,,Internal,1895-03-12,1895-03-27,,2/29/2016,,,,,,,,,,,,,
43,3427,Yes,EX1895.3,Exhibition,Completed,12th Annual Exhibition of the Art Association of Indianapolis,,Internal,1895-05-11,1895-05-18,,9/15/2022,,,,,,,,,,,,,
44,3426,Yes,EX1896.1,Exhibition,Completed,13th Annual Exhibition of the Art Association of Indianapolis,,Internal,1896-05-01,1896-05-24,,9/15/2022,,,,,,,,,,,,,
45,3406,Yes,EX1897.1,Exhibition,Completed,Recent Work of Home Artists,,Internal,1897-02-06,1897-02-14,,6/8/2016,,,,,,,,,,,,,
46,3411,Yes,EX1897.2,Exhibition,Completed,1st Annual Exhibition of the Society of Western Artists and being the 14th Annual Exhibition of the Art Association of Indianapolis.,,Internal,1897-03-05,1897-03-19,,2/29/2016,,,,,,,,,,,,,
47,3430,Yes,EX1897.3,Exhibition,Completed,Wood Carving and Decorated China from Purdue University,,Internal,1897-06-10,1897-06-11,,2/29/2016,,,,,,,,,,,,,
48,3383,Yes,EX1898.1,Exhibition,Completed,Recent Work of Home Artists,,Internal,1898-01-15,1898-01-22,,2/29/2016,,,,,,,,,,,,,
49,3410,Yes,EX1898.2,Exhibition,Completed,2nd Annual Exhibition of the Society of Western Artists and being the 15th Annual Exhibition of the Art Association of Indianapolis,,Internal,1898-03-19,1898-04-03,,6/8/2016,,,,,,,,,,,,,
50,3418,Yes,EX1898.3,Exhibition,Completed,First Exhibition of Arts and Crafts,,Internal,1898-04-15,1898-04-23,,2/29/2016,,,,,,,,,,,,,
51,3404,Yes,EX1899.1,Exhibition,Completed,3rd Annual Exhibition of the Society of Western Artists and being the 16th Annual Exhibition of the Art Association of Indianapolis,,Internal,1899-02-03,1899-02-12,,6/8/2016,,,,,,,,,,,,,
52,146,Yes,EX1900.1,Exhibition,Completed,4th Annual Exhibition of the Society of Western Artists and being the 17th Annual Exhibition of the Art Association of Indianapolis,,Internal,1/8/1900,1/21/1900,,6/9/2016,,,,,,,,,,,,,
53,147,Yes,EX1901.1,Exhibition,Completed,5th Annual Exhibition of the Society of Western Artists and being the 18th Annual Exhibition of the Art Association of Indianapolis,,Internal,3/25/1901,4/9/1901,,6/9/2016,,,,,,,,,,,,,
54,148,Yes,EX1902.1,Exhibition,Completed,"Six Paintings loaned by Arthur Tooth & Sons, New York",,Internal,3/3/1902,3/22/1902,,2/29/2016,,,,,,,,,,,,,
55,149,Yes,EX1902.2,Exhibition,Completed,Paintings by Charles H. Woodbury,,Internal,4/4/1902,4/28/1902,,2/29/2016,,,,,,,,,,,,,
56,150,Yes,EX1902.3,Exhibition,Completed,6th Annual Exhibition of the Society of Western Artists and being the 19th Annual Exhibition of the Art Association of Indianapolis,,Internal,5/6/1902,5/27/1902,,6/9/2016,,,,,,,,,,,,,
57,151,Yes,EX1902.4,Exhibition,Completed,Association of American Illustrators,,Internal,6/1/1902,6/30/1902,,2/29/2016,,,,,,,,,,,,,
58,152,Yes,EX1902.5,Exhibition,Completed,1st Annual Art School Exhibit,,Internal,6/3/1902,6/7/1902,,2/29/2016,,,,,,,,,,,,,
59,153,Yes,EX1902.6,Exhibition,Completed,Press Artists League:  First Annual Loan and Sale Exhibition of Original Drawings,,Internal,11/12/1902,11/16/1902,,2/29/2016,,,,,,,,,,,,,
60,154,Yes,EX1902.7,Exhibition,Completed,Paintings by A. E. Albright:  Pictures of Country Children,,Internal,11/25/1902,12/3/1902,,2/29/2016,,,,,,,,,,,,,
61,155,Yes,EX1902.8,Exhibition,Completed,Indiana Keramic Club Exhibition,,Internal,12/1/1902,12/31/1902,,2/29/2016,,,,,,,,,,,,,
62,156,Yes,EX1903.1,Exhibition,Completed,7th Annual Exhibition of the Society of Western Artists and being the 20th Annual Exhibition of the Art Association of Indianapolis,,Internal,2/10/1903,2/24/1903,,6/9/2016,,,,,,,,,,,,,
63,157,Yes,EX1903.2,Exhibition,Completed,The Photographic Club of the Art Association of Indianapolis: 1st Members Exhibit,,Internal,3/6/1903,3/17/1903,,2/29/2016,,,,,,,,,,,,,
64,158,Yes,EX1903.3,Exhibition,Completed,Water Colors by Henry B. Snell,,Internal,3/26/1903,4/16/1903,,2/29/2016,,,,,,,,,,,,,
65,159,Yes,EX1903.4,Exhibition,Completed,2nd Annual Art School Exhibit,,Internal,6/2/1903,6/6/1903,,2/29/2016,,,,,,,,,,,,,
66,160,Yes,EX1903.5,Exhibition,Completed,Art Association Exhibition,,Internal,9/21/1903,10/12/1903,,2/29/2016,,,,,,,,,,,,,
67,161,Yes,EX1904.1,Exhibition,Completed,2nd Annual Exhibit of the Photographic Club of the Art Association,,Internal,2/26/1904,3/6/1904,,6/9/2016,,,,,,,,,,,,,
68,162,Yes,EX1904.2,Exhibition,Completed,Water Color Paintings of Hachiro Nakagawa,,Internal,3/8/1904,3/23/1904,,1/6/2022,,,,,,,,,,,,,
69,163,Yes,EX1904.3,Exhibition,Completed,"A Collection of Paintings and Illustrations by Howard Pyle, Esq.",,Internal,4/8/1904,4/26/1904,,2/29/2016,,,,,,,,,,,,,
70,164,Yes,EX1904.4,Exhibition,Completed,3rd Annual Art School Exhibit,,Internal,5/1/1904,5/30/1904,,2/29/2016,,,,,,,,,,,,,
71,165,Yes,EX1904.5,Exhibition,Completed,Albert Matzke,,Internal,6/20/1904,,,2/29/2016,,,,,,,,,,,,,
72,166,Yes,EX1904.6,Exhibition,Completed,Photographic Club Annual Exhibit,,Internal,11/18/1904,11/27/1904,,2/29/2016,,,,,,,,,,,,,
73,167,Yes,EX1904.7,Exhibition,Completed,Indiana Keramic Society,,Internal,12/5/1904,12/10/1904,,2/29/2016,,,,,,,,,,,,,
74,168,Yes,EX1905.1,Exhibition,Completed,9th Annual Exhibition of the Society of Western Artists and being the 21st Annual Exhibition of the Art Association of Indianapolis,,Internal,2/7/1905,2/26/1905,,6/9/2016,,,,,,,,,,,,,
75,169,Yes,EX1905.2,Exhibition,Completed,Fenollosa Collection of Japanese and Chinese Paintings,,Internal,3/21/1905,3/31/1905,,2/29/2016,,,,,,,,,,,,,
76,170,Yes,EX1905.3,Exhibition,Completed,Special Exhibition of Watercolors by Members of the Americna Water Color Society,,Internal,5/6/1905,5/23/1905,,6/9/2016,,,,,,,,,,,,,
77,171,Yes,EX1905.4,Exhibition,Completed,4th Annual Art School Exhibit,,Internal,5/26/1905,6/6/1905,,2/29/2016,,,,,,,,,,,,,
78,172,Yes,EX1906.1,Exhibition,Completed,Inaugural Exhibition,,Internal,11/20/1906,12/31/1906,Closed,7/6/2021,,,,,,,,,,,,,
79,173,Yes,EX1907.1,Exhibition,Completed,Third American Photographic Salon,,Internal,1/20/1907,1/31/1907,,2/29/2016,,,,,,,,,,,,,
80,174,Yes,EX1907.2,Exhibition,Completed,The Collier Collection of Original Drawings and Paintings by Distinguished American Painters and Illustrators,,Internal,2/2/1907,2/23/1907,,2/29/2016,,,,,,,,,,,,,
81,175,Yes,EX1907.3,Exhibition,Completed,Oriental Rugs,,Internal,2/11/1907,2/17/1907,,2/29/2016,,,,,,,,,,,,,
82,176,Yes,EX1907.4,Exhibition,Completed,11th Annual Exhibition of the Society of Western Artists and being the 22nd Annual Exhibition of the Art Association of Indianapolis,,Internal,3/3/1907,3/24/1907,,6/22/2016,,,,,,,,,,,,,
83,177,Yes,EX1907.5,Exhibition,Completed,Exhibition of Paintings by Charles Caryl Coleman,,Internal,3/27/1907,4/16/1907,,2/29/2016,,,,,,,,,,,,,
84,178,Yes,EX1907.6,Exhibition,Completed,Exhibition of Contemporary German Paintings,,Internal,3/31/1907,4/28/1907,,2/29/2016,,,,,,,,,,,,,
85,179,Yes,EX1907.7,Exhibition,Completed,Paintings by contemporary Norwegian Artists,,Internal,5/12/1907,6/9/1907,,2/29/2016,,,,,,,,,,,,,
86,180,Yes,EX1907.8,Exhibition,Completed,Paintings by Charles Morris Young.,,Internal,5/12/1907,8/30/1907,,2/29/2016,,,,,,,,,,,,,
87,181,Yes,EX1907.9,Exhibition,Completed,5th Annual Exhibition of the Work of  the Art School,,Internal,5/28/1907,6/2/1907,,2/29/2016,,,,,,,,,,,,,
88,182,Yes,EX1907.10,Exhibition,Completed,Collection of the Art Association of Indianapolis,,Internal,6/5/1907,8/30/1907,,2/29/2016,,,,,,,,,,,,,
89,183,Yes,EX1907.11,Exhibition,Completed,"Boutet de Monvel, Alfred Prunaire and others.",,Internal,10/31/1907,12/2/1907,,2/29/2016,,,,,,,,,,,,,
90,184,Yes,EX1907.12,Exhibition,Completed,23rd Annual Exhibit of the Art Association of Indianapolis,,Internal,12/8/1907,1/2/1908,,6/22/2016,,,,,,,,,,,,,
91,185,Yes,EX1908.1,Exhibition,Completed,4th American Photographic Salon at Principal Cities,,Internal,1/8/1908,1/27/1908,,2/29/2016,,,,,,,,,,,,,
92,186,Yes,EX1908.2,Exhibition,Completed,12th Annual Exhibition of the Society of Western Artists,,Internal,2/2/1908,2/23/1908,,6/23/2016,,,,,,,,,,,,,
93,187,Yes,EX1908.3,Exhibition,Completed,Loan Collection of works by foreign and contemporary painters.,,Internal,2/24/1908,3/3/1908,,2/29/2016,,,,,,,,,,,,,
94,188,Yes,EX1908.4,Exhibition,Completed,"Lendall Pitts, George R. Barse, Jr., Eugene Paul Ullman and R. Tait McKenzie",,Internal,3/7/1908,3/30/1908,,6/23/2016,,,,,,,,,,,,,
95,189,Yes,EX1908.5,Exhibition,Completed,"A Collection of Paintings, Drawings, and Works of Sculpture by Resident Indiana Artists",,Internal,4/3/1908,5/4/1908,,6/23/2016,,,,,,,,,,,,,
96,190,Yes,EX1908.6,Exhibition,Completed,A Collection of Paintings by Hermann Dudley Murphy,,Internal,4/3/1908,5/4/1908,,2/29/2016,,,,,,,,,,,,,
97,191,Yes,EX1908.7,Exhibition,Completed,A Collection of Paintings by Hugh H. Breckenridge,,Internal,4/3/1908,5/4/1908,,2/29/2016,,,,,,,,,,,,,
98,192,Yes,EX1908.8,Exhibition,Completed,Special Exhibition of Paintings by Elizabeth Wentworth Roberts,,Internal,4/23/1908,5/7/1908,,2/29/2016,,,,,,,,,,,,,
99,193,Yes,EX1908.9,Exhibition,Completed,"Pictures of Indian Life, by J. H. Sharp",,Internal,5/2/1908,6/1/1908,,6/23/2016,,,,,,,,,,,,,
100,194,Yes,EX1908.10,Exhibition,Completed,Indianapolis Architects Exhibition,,Internal,5/9/1908,6/1/1908,,2/29/2016,,,,,,,,,,,,,
101,195,Yes,EX1908.11,Exhibition,Completed,6th Annual Exhibition of the Work of the Art School,,Internal,5/23/1908,6/1/1908,,2/29/2016,,,,,,,,,,,,,
102,196,Yes,EX1908.12,Exhibition,Completed,Works in the Permanent Collection,,Internal,6/6/1908,8/30/1908,,2/29/2016,,,,,,,,,,,,,
103,197,Yes,EX1908.13,Exhibition,Completed,The Tissot Bible Pictures,,Internal,9/5/1908,9/28/1908,,2/29/2016,,,,,,,,,,,,,
104,198,Yes,EX1908.14,Exhibition,Completed,Water Colors by the Chicago Water Color Club,,Internal,9/30/1908,10/26/1908,,2/29/2016,,,,,,,,,,,,,
105,199,Yes,EX1908.15,Exhibition,Completed,Fruits and Flowers by Cadurcis Plantagenet Ream,,Internal,9/30/1908,10/26/1908,,2/29/2016,,,,,,,,,,,,,
106,200,Yes,EX1908.16,Exhibition,Completed,The Tiger Cubs by Ada L. Stewart,,Internal,9/30/1908,10/26/1908,,2/29/2016,,,,,,,,,,,,,
107,201,Yes,EX1908.17,Exhibition,Completed,Persian Textiles and Ornaments,,Internal,9/30/1908,10/26/1908,,2/29/2016,,,,,,,,,,,,,
108,202,Yes,EX1908.18,Exhibition,Completed,"Pen and Ink Drawings, Lithographs and Etchings by Joseph Pennell",,Internal,10/28/1908,11/30/1908,,6/24/2016,,,,,,,,,,,,,
109,203,Yes,EX1908.19,Exhibition,Completed,"Pictures by Old Painters, and Copies of Old Masterpieces, Fine Books and Book Bindings",,Internal,10/28/1908,11/30/1908,,2/29/2016,,,,,,,,,,,,,
110,204,Yes,EX1908.20,Exhibition,Completed,"The Wood-Engravings of Timothy Cole: Italian, Dutch, English and Spanish Masters Made for The Century Magazine",,Internal,11/1/1908,11/30/1908,,2/29/2016,,,,,,,,,,,,,
111,205,Yes,EX1908.21,Exhibition,Completed,Venice in Oil and Water Color: Paintings by Herbert W. Faulkner,,Internal,11/15/1908,11/30/1908,,6/24/2016,,,,,,,,,,,,,
112,206,Yes,EX1908.22,Exhibition,Completed,24th Annual Exhibition of the Art Association of Indianapolis,,Internal,12/6/1908,1/4/1909,,3/25/2019,,,,,,,,,,,,,
113,207,Yes,EX1909.1,Exhibition,Completed,"Pictures by ""The Eight"" American Painters",,Internal,1/6/1909,1/31/1909,,3/2/2016,,,,,,,,,,,,,
114,208,Yes,EX1909.2,Exhibition,Completed,Pictures of the Chateaux Country by Alson S. Clark,,Internal,1/6/1909,1/31/1909,,3/2/2016,,,,,,,,,,,,,
115,209,Yes,EX1909.3,Exhibition,Completed,"Studies of Animals in Charcoal, Crayon and Pencil by Josephine Pitkin",,Internal,1/6/1909,1/31/1909,,3/2/2016,,,,,,,,,,,,,
116,210,Yes,EX1909.4,Exhibition,Completed,American Etchings,,Internal,2/3/1909,2/28/1909,,3/2/2016,,,,,,,,,,,,,
117,211,Yes,EX1909.5,Exhibition,Completed,Exhibit of Chinese Art,,Internal,2/3/1909,2/28/1909,,3/2/2016,,,,,,,,,,,,,
118,212,Yes,EX1909.6,Exhibition,Completed,2nd Annual Indiana Artists' Exhibit,,Internal,2/3/1909,2/28/1909,,9/28/2022,,,,,,,,,,,,,
119,213,Yes,EX1909.7,Exhibition,Completed,A. W. Drake Collection of Samplers,,Internal,3/3/1909,3/28/1909,,8/18/2021,,,,,,,,,,,,,
120,214,Yes,EX1909.8,Exhibition,Completed,Loan collection of Book-Plates,,Internal,3/3/1909,3/28/1909,,3/2/2016,,,,,,,,,,,,,
121,215,Yes,EX1909.9,Exhibition,Completed,William Merrit Chase's paintings,,Internal,3/3/1909,3/28/1909,,3/2/2016,,,,,,,,,,,,,
122,216,Yes,EX1909.10,Exhibition,Completed,13th Annual Exhibition of the Society of Western Artists,,Internal,3/31/1909,5/3/1909,,6/27/2016,,,,,,,,,,,,,
123,217,Yes,EX1909.11,Exhibition,Completed,Portraits by Miss Beth S. Driggs,,Internal,3/31/1909,5/3/1909,,3/2/2016,,,,,,,,,,,,,
124,218,Yes,EX1909.12,Exhibition,Completed,"Textiles and Copper, Pewter and Brass Utensils on Loan from Miss Mary E. Nicholson and Miss Charity Dye",,Internal,3/31/1909,5/3/1909,,3/2/2016,,,,,,,,,,,,,
125,219,Yes,EX1909.13,Exhibition,Completed,Metalwork and Pottery by Brandt Steele,,Internal,3/31/1909,5/3/1909,,3/2/2016,,,,,,,,,,,,,
126,220,Yes,EX1909.14,Exhibition,Completed,Decorative Ceramics by Alice Ross Hadley,,Internal,3/31/1909,5/3/1909,,3/2/2016,,,,,,,,,,,,,
127,221,Yes,EX1909.15,Exhibition,Completed,Japanese Prints,,Internal,3/31/1909,5/3/1909,,3/2/2016,,,,,,,,,,,,,
128,222,Yes,EX1909.16,Exhibition,Completed,"Paintings of Egypt and Italy, by Joseph Lindon Smith",,Internal,4/28/1909,5/7/1909,,3/2/2016,,,,,,,,,,,,,
129,223,Yes,EX1909.17,Exhibition,Completed,Paintings lent by members of the Art Association,,Internal,4/28/1909,5/7/1909,,3/10/2016,,,,,,,,,,,,,
130,224,Yes,EX1909.18,Exhibition,Completed,Brownell Gift of Old Engravings and Etchings,,Internal,4/28/1909,5/7/1909,,3/2/2016,,,,,,,,,,,,,
131,225,Yes,EX1909.19,Exhibition,Completed,5th American Photographic Salon,,Internal,5/8/1909,5/30/1909,,3/2/2016,,,,,,,,,,,,,
132,226,Yes,EX1909.20,Exhibition,Completed,1st Indiana Photographic Salon,,Internal,5/9/1909,5/31/1909,,3/2/2016,,,,,,,,,,,,,
133,227,Yes,EX1909.21,Exhibition,Completed,Paintings by Patty Thum,,Internal,5/10/1909,5/30/1909,,3/2/2016,,,,,,,,,,,,,
134,228,Yes,EX1909.22,Exhibition,Completed,7th Annual Exhibition of the Work of the Art School,,Internal,5/30/1909,6/7/1909,,3/2/2016,,,,,,,,,,,,,
135,229,Yes,EX1909.23,Exhibition,Completed,New York Illustrators,,Internal,10/2/1909,11/1/1909,,3/2/2016,,,,,,,,,,,,,
136,230,Yes,EX1909.24,Exhibition,Completed,Oils and Water Colors by Sue M. Ketcham,,Internal,10/9/1909,11/1/1909,,3/2/2016,,,,,,,,,,,,,
137,231,Yes,EX1909.25,Exhibition,Completed,Hemingway collection,,Internal,10/16/1909,11/1/1909,,3/2/2016,,,,,,,,,,,,,
138,232,Yes,EX1909.26,Exhibition,Completed,Pastels by Charles S. Kaelin,,Internal,10/23/1909,11/15/1909,,3/2/2016,,,,,,,,,,,,,
139,233,Yes,EX1909.27,Exhibition,Completed,6th American Photographic Salon,,Internal,11/6/1909,11/29/1909,,3/2/2016,,,,,,,,,,,,,
140,234,Yes,EX1909.28,Exhibition,Completed,Augustus Saint-Gaudens Memorial Exhibition,,Internal,12/19/1909,3/31/1910,,6/27/2016,,,,,,,,,,,,,
141,235,Yes,EX1909.29,Exhibition,Completed,25th Annual Exhibition of the Art Association of Indianapolis and being the Fifth Annual Exhibition of Works by American Artists,,Internal,12/25/1909,1/31/1910,,3/2/2016,,,,,,,,,,,,,
142,236,Yes,EX1910.1,Exhibition,Completed,George C. Calvert's Collection of Etchings,,Internal,1/8/1910,1/31/1910,,6/27/2016,,,,,,,,,,,,,
143,237,Yes,EX1910.2,Exhibition,Completed,Retrospective exhibition of the paintings of Theodore C. Steele,,Internal,2/5/1910,2/28/1910,,3/2/2016,,,,,,,,,,,,,
144,238,Yes,EX1910.3,Exhibition,Completed,A Collection of Oil Paintings by H. H. Gallison,,Internal,2/5/1910,2/28/1910,,3/2/2016,,,,,,,,,,,,,
145,239,Yes,EX1910.4,Exhibition,Completed,14th Annual Exhibition of the Society of Western Artists,,Internal,3/5/1910,3/28/1910,,6/27/2016,,,,,,,,,,,,,
146,240,Yes,EX1910.5,Exhibition,Completed,"Special Exhibition of Paintings by Henry Golden Dearth, Louis Paul Dessar, & Charles H. Woodbury",,Internal,4/2/1910,5/2/1910,,6/27/2016,,,,,,,,,,,,,
147,241,Yes,EX1910.6,Exhibition,Completed,Paintings by James Craig Nicholl,,Internal,4/2/1910,5/2/1910,,3/2/2016,,,,,,,,,,,,,
148,242,Yes,EX1910.7,Exhibition,Completed,3rd Annual Indiana Artists Exhibition,,Internal,5/7/1910,6/8/1910,,3/2/2016,,,,,,,,,,,,,
149,243,Yes,EX1910.8,Exhibition,Completed,"Reproductions of Etchings by James McNeill Whistler, from the Grolier Club catalogue",,Internal,5/17/1910,8/31/1910,,3/2/2016,,,,,,,,,,,,,
150,244,Yes,EX1910.9,Exhibition,Completed,The Reid Collection of Examples of French and Italian Decorative Art,,Internal,5/29/1910,10/31/1910,,3/2/2016,,,,,,,,,,,,,
151,245,Yes,EX1910.10,Exhibition,Completed,8th Annual Exhibition of the Work of the Art School,,Internal,6/1/1910,6/5/1910,,3/2/2016,,,,,,,,,,,,,
152,246,Yes,EX1910.11,Exhibition,Completed,A loan collection of old masters and old prints,,Internal,6/8/1910,7/11/1910,,3/2/2016,,,,,,,,,,,,,
153,247,Yes,EX1910.12,Exhibition,Completed,Paintings by Elizabeth Wentworth Roberts,,Internal,6/8/1910,10/31/1910,,3/2/2016,,,,,,,,,,,,,
154,248,Yes,EX1910.13,Exhibition,Completed,Paintings by Charles Peter Bock and Frank Reaugh,,Internal,6/8/1910,10/31/1910,,3/2/2016,,,,,,,,,,,,,
155,249,Yes,EX1910.14,Exhibition,Completed,"The Indiana Circuit Exhibition of Oils, Water Colors, Pastels, and Bronzes",,Internal,7/11/1910,10/2/1910,,6/27/2016,,,,,,,,,,,,,
156,250,Yes,EX1910.15,Exhibition,Completed,Special Exhibition of Paintings by William Henry Lippincott,,Internal,10/8/1910,11/16/1910,,3/2/2016,,,,,,,,,,,,,
