irn,LegalStatus,AccessionNo,Title,Creators,Culture,RecordType,MediumSupport,CreditLine,SummaryData,Publish,DagwoodID
"10205","Accessioned","2000.64","Scholar Viewing a Lake","Artist: Kanō Tan'yū (Japanese, 1602 - 1674)","","Visual Works: Paintings","ink and color on paper","Mr. and Mrs. William R. Spurlock Fund","[2000.64] *Scholar Viewing a Lake*, Kanō Tan'yū",Yes,71606
"10210","Accessioned","71.11.132","Burmese jadeite with polished groove","","","Default","jade","Gift of Professor and Mrs. R. Norris Shreve","[71.11.132] *Burmese jadeite with polished groove* - Chinese",Yes,23499
"10269","Accessioned","67.10.95.3","urn","","","Furnishings","porcelain, gilt metal","Gift of the Children of J.K. Lilly Jr.","[67.10.95.3] *urn* - French",Yes,18890
"10274","Accessioned","1989.62","handkerchief (lace)","","","Costume Accessories","linen","Gift of Stanley E. Weaver","[1989.62] *handkerchief (lace)* - Belgian",Yes,57020
"10278","Accessioned","1989.1319","wedding apron (Jocolo)","","Ndebele people","Costume","leather, glass","Gift of Mr. and Mrs. Harrison Eiteljorg","[1989.1319] *wedding apron (Jocolo)* - Ndebele people",Yes,57027
"10316","Accessioned","1988.68","Copy of *Young Girl and Child* by William Bouguereau","Artist: Elizabeth Jane Gardner Bouguereau (American, 1837 - 1922)\\Artist, after: William-Adolphe Bouguereau (French, 1825 - 1905)","","Visual Works: Paintings","oil on canvas","Gift of the Children of Lorena Hunter Zimmer","[1988.68] *Copy of *Young Girl and Child* by William Bouguereau*, Bouguereau, Elizabeth Jane Gardner -   , Bouguereau, William-Adolphe",Yes,56004
"10316","Accessioned","1988.68","Copy of *Young Girl and Child* by William Bouguereau","Artist: Elizabeth Jane Gardner Bouguereau (American, 1837 - 1922)\\Artist, after: William-Adolphe Bouguereau (French, 1825 - 1905)","","Visual Works: Paintings","oil on canvas","Gift of the Children of Lorena Hunter Zimmer","[1988.68] *Copy of *Young Girl and Child* by William Bouguereau*, Bouguereau, Elizabeth Jane Gardner -   , Bouguereau, William-Adolphe",Yes,56004
"10330","Loan Exhibition","TR9333/4","Blind","Artist: Nhat Tran","","Visual Works: Paintings","lacquer on wood","Collection of the Artist","Returned - [TR9333/4] *Blind*, Tran, Nhat",No,559
"10331","Accessioned","11.103","Venetian Canal and Bridge","Artist: Robert F. Blum (American, 1857 - 1903)","","Visual Works: Prints","ink on paper, etching","Gift of Cincinnati Museum Association","[11.103] *Venetian Canal and Bridge*, Blum, Robert Frederick",Yes,62411
"10340","Accessioned","1988.277","Cockatoo on Feeder","Artist: Yoshida Hiroshi (Japanese, 1876 - 1950)","","Visual Works: Prints","color woodblock print","Gift of Dr. and Mrs. Harvey D. Lovett","[1988.277] *Cockatoo on Feeder*, Yoshida Hiroshi",Yes,23766
"10391","Accessioned","52.11","bowl with central elephant","","","Containers","earthenware with underglaze","Emma Harter Sweetser Fund","[52.11] *bowl with central elephant* - Persian",Yes,49154
"10391","Accessioned","52.11","bowl with central elephant","","","Containers","earthenware with underglaze","Emma Harter Sweetser Fund","[52.11] *bowl with central elephant* - Persian",Yes,49154
"10433","Accessioned","48.18","Hercules Killing Cacus","Artist: Hendrick Goltzius (Dutch, 1558 - 1617)","","Visual Works: Prints","Chiaroscuro woodblock print","Carl H. Lieber Memorial Fund","[48.18] *Hercules Killing Cacus*, Goltzius, Hendrick",Yes,7989
"10441","Accessioned","69.46.54A-B","snuff bottle with lid","","","Containers","silver painted red, black and gold","Gift of Mr. Edward E. Petri in memory of Frances Helene Petri","[69.46.54A-B] *snuff bottle with lid* - Chinese",Yes,2637
"10468","Accessioned","1998.167","Still Life with Profile of Laval","Artist: Paul Gauguin (French, 1848 - 1903)","","Visual Works: Paintings","oil on canvas","Samuel Josefowitz Collection of the School of Pont-Aven, through the generosity of Lilly Endowment Inc., the Josefowitz Family, Mr. and Mrs. James M. Cornelius, Mr. and Mrs. Leonard J. Betley, Lori and Dan Efroymson, and other Friends of the Museum","[1998.167] *Still Life with Profile of Laval*, Gauguin, Paul",Yes,82261
"10480","Accessioned","72.185","The Pyramids at Gizeh","Artist: Joseph Mallord William Turner (English, 1775 - 1851)\\Artist, after: Charles Barry (English, 1795 - 1860)","","Visual Works: Drawings","watercolor on white wove paper","Gift in memory of Dr. and Mrs. Hugo O. Pantzer by their children","[72.185] *The Pyramids at Gizeh*, Turner, Joseph Mallord William, Barry, Charles",Yes,76704
"10500","Accessioned","51.18A","bodice for trousseau dress (bodice, skirt, hoop)","Artist: Unknown","","Costume","silk","Gift of Mrs. Henry J. McCoy","[51.18A] *bodice for trousseau dress (bodice, skirt, hoop)*, Unknown - American",No,60531
"10502","Accessioned","2000.320","Pheasants and Hanging-Cherry","Artist: Ohara Koson (Japanese, 1877 - 1945)","","Visual Works: Prints","color woodblock print","Bequest of Grace Ritchie","[2000.320] *Pheasants and Hanging-Cherry*, Ohara Koson",Yes,70084
"10502","Accessioned","2000.320","Pheasants and Hanging-Cherry","Artist: Ohara Koson (Japanese, 1877 - 1945)","","Visual Works: Prints","color woodblock print","Bequest of Grace Ritchie","[2000.320] *Pheasants and Hanging-Cherry*, Ohara Koson",Yes,70084
"10513","Accessioned","69.69.1","imperial bed valance","","Chinese","Furnishings","silk, silk and metallic threads","Gift of Mrs. J. D. Gould","[69.69.1] *imperial bed valance* - Chinese",Yes,54217
"10519","Accessioned","74.98","The Country Dance","Artist: Jean-Antoine Watteau (French, 1684 - 1721)","","Visual Works: Paintings","oil on canvas","Gift of Mrs. Herman C. Krannert","[74.98] *The Country Dance*, Watteau, Jean-Antoine",Yes,41174
"10519","Accessioned","74.98","The Country Dance","Artist: Jean-Antoine Watteau (French, 1684 - 1721)","","Visual Works: Paintings","oil on canvas","Gift of Mrs. Herman C. Krannert","[74.98] *The Country Dance*, Watteau, Jean-Antoine",Yes,41174
"10523","Accessioned","72.47.146","Soryo Jinroku II 二代惣領甚六 in the role of Kinbei 金兵衛","Artist: Utagawa Kunisada 歌川国貞 (Japanese, 1786 - 1864)","","Default","color woodblock print","Gift of Mrs. Kate Kiser Klein","[72.47.146] *Soryo Jinroku II 二代惣領甚六 in the role of Kinbei 金兵衛*, Utagawa Kunisada 歌川国貞",Yes,45592
"10527","Accessioned","S0896.75.353","hat","Designer: Bes-Ben (American, 1898 - 1988)","","Costume Accessories","Cellulose nitrate flowers and petals, PVC tube, metal wire, elastic, paint, synthetic knit fabric, velvet (added later)","Gift of Mrs. William H. Ball","[S0896.75.353] *hat*, Bes-Ben",Yes,17838
"10532","Accessioned","76.254","Monk's cap ewer (sengmaohu) with dragon motifs","","","Containers","silver, gilt copper","Orville A. and Elma D. Wilkinson Fund","[76.254] *Monk's cap ewer (sengmaohu) with dragon motifs* - Tibetan",Yes,17276
"10553","Accessioned","1985.243","Entrance to the Grand Canal, Venice","Artist: Otto H. Bacher (American, 1856 - 1909)","","Visual Works: Prints","etching","Gift of Dr. Steven Conant in honor of Mr. and Mrs. H. L. Conant","[1985.243] *Entrance to the Grand Canal, Venice*, Bacher, Otto Henry",Yes,68063
"1056","Accessioned","35.21","Saint George and the Dragon","Artist: Lucas Cranach, the elder (German, 1472 - 1553)","","Visual Works: Prints","ink on paper, woodblock print","Carl H. Lieber Memorial Fund","[35.21] *Saint George and the Dragon*, Cranach, Lucas the elder",Yes,28472
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10578","Accessioned","79.99","quilt (Poinsettia)","Artist: Marie D. Webster (American, 1859 - 1956)","","Furnishings","cotton and linen appliquéd on cotton and quilted","Webster Collection, Gift of Mrs. Gerrish Thurber","[79.99] *quilt (Poinsettia)*, Webster, Marie Daugherty",Yes,54734
"10580","Accessioned","1989.901","double-faced head crest","","Efik people","Visual Works: Sculpture","wood, skin, pigment, iron, basketry, fiber","Gift of Mr. and Mrs. Harrison Eiteljorg","[1989.901] *double-faced head crest* - Efik people",Yes,29478
"10584","Consideration","TR9373/3","(delta sigma in Greek) 10/26/54, Estate #73-54.156","Artist: David Smith (American, 1906 - 1965)","","Visual Works: Drawings","egg tempera on paper","The Collection of Candida and Rebecca Smith, New York, NY","Returned - [TR9373/3] *(delta sigma in Greek) 10/26/54, Estate #73-54.156*, Smith, David",No,7971
"10584","Consideration","TR9373/3","(delta sigma in Greek) 10/26/54, Estate #73-54.156","Artist: David Smith (American, 1906 - 1965)","","Visual Works: Drawings","egg tempera on paper","The Collection of Candida and Rebecca Smith, New York, NY","Returned - [TR9373/3] *(delta sigma in Greek) 10/26/54, Estate #73-54.156*, Smith, David",No,7971
"10608","Accessioned","S0896.75.325","hat","Designer: Bes-Ben (American, 1898 - 1988)","","Costume Accessories","Cuprammonium silk (cellophane), grosgrain","Gift of Mrs. William H. Ball","[S0896.75.325] *hat*, Bes-Ben",Yes,14742
"10625","Accessioned","10.227","Sanuki","Artist: Utagawa Hiroshige (Japanese, 1797 - 1858)\\Engraver: Horisōji (Japanese)","","Visual Works: Prints","ink on paper, color woodblock print","John Herron Fund","[10.227] *Sanuki*, Utagawa Hiroshige 歌川広重, Horisōji",Yes,26615
"10631","Accessioned","1989.1224A-C","masquerade garment","","Chokwe people","Costume","raffia, leather","Gift of Mr. and Mrs. Harrison Eiteljorg","[1989.1224A-C] *masquerade garment* - Chokwe people",Yes,78513
"1065","Accessioned","14.55","The Bachelor Boudoir (Corner of the Studio)","Artist: Charles J. Fiscus (American, 1861 - 1884)","","Visual Works: Paintings","oil on canvas","Gift of the Artist's mother, Mrs. E.J. Fiscus","[14.55] *The Bachelor Boudoir (Corner of the Studio)*, Fiscus, Charles J.",Yes,56270
"10654","Accessioned","78.178","Les Roses","Artist: Bernard Buffet (French, 1928 - )","","Visual Works: Prints","color lithograph","Martha Delzell Memorial Fund","[78.178] *Les Roses*, Buffet, Bernard",Yes,62301
"10669","Accessioned","1992.146","Lidai tuibei quantu","Artist, copy of: Jiao Bingzhen (Chinese, 1689 - 1726)","","Visual Works: Paintings","ink and color on paper","Gift of Keith Uhl Clary and Kwang Fei Young","[1992.146] *Lidai tuibei quantu*, Jiao Bingzhen",Yes,41836
"10682","Accessioned","71.229.15","The Angels guarding Paradise at night","Artist: John Martin (English, 1789 - 1854)","","Visual Works: Prints","mezzotint","Gift of Mrs. Peter A. Richardson","[71.229.15] *The Angels guarding Paradise at night*, Martin, John",No,74082
"10684","Accessioned","79.1081","evening dress","Designer: Yves Saint Laurent (French, 1936 - 2008)\\Design House: The House of Dior (French)","","Costume","Silk Taffeta","Gift of Ritta MacNeill","[79.1081] *evening dress*, Saint Laurent, Yves, House of Dior",Yes,79770
"10685","Deaccessioned","1984.181","evening dress","Designer: Bill Blass (American, 1922 - 2002)","","Costume","silk crepe, velvet","Gift of Lorraine DeAngelis","Disposed - [1984.181] *evening dress*, Blass, Bill",Yes,37899
"10723","Accessioned","1992.156","Washington's Birthday","Artist: Charles Baugniet (Belgian, 1814 - 1886)","","Visual Works: Paintings","oil on panel","Gift of Mrs. August M. Hardee in memory of Mrs. George Monroe Dixon and August M. Hardee","[1992.156] *Washington's Birthday*, Baugniet, Charles",Yes,55224
"10723","Accessioned","1992.156","Washington's Birthday","Artist: Charles Baugniet (Belgian, 1814 - 1886)","","Visual Works: Paintings","oil on panel","Gift of Mrs. August M. Hardee in memory of Mrs. George Monroe Dixon and August M. Hardee","[1992.156] *Washington's Birthday*, Baugniet, Charles",Yes,55224
"10723","Accessioned","1992.156","Washington's Birthday","Artist: Charles Baugniet (Belgian, 1814 - 1886)","","Visual Works: Paintings","oil on panel","Gift of Mrs. August M. Hardee in memory of Mrs. George Monroe Dixon and August M. Hardee","[1992.156] *Washington's Birthday*, Baugniet, Charles",Yes,55224
"10741","Accessioned","63.257","Landscape (probably near Lafayette, Indiana)","Artist: George Winter (American, born English, 1810 - 1876)","","Visual Works: Paintings","oil on canvas","Gift of Eli Lilly","[63.257] *Landscape (probably near Lafayette, Indiana)*, Winter, George",Yes,55914
"10749","Accessioned","1995.73","ceremonial tunic","","Amharic people","Costume","silk velvet, metal ornaments","Mary V. Black Art Endowment Fund","[1995.73] *ceremonial tunic* - Amharic people",Yes,54752
"10753","Accessioned","1986.177","Elderly Man","Artist: William J. Forsyth (American, 1854 - 1935)","","Visual Works: Drawings","charcoal on off-white laid paper","Martha Delzell Memorial Fund","[1986.177] *Elderly Man*, Forsyth, William J.",Yes,11586
"10765","Accessioned","62.79","Bien Viage (Bon Voyage), Plate 64 from Los Caprichos","Artist: Francisco José de Goya y Lucientes (Spanish, 1746 - 1828)","","Visual Works: Prints","etching and aquatint","Daniel P. Erwin Fund, Jacob Metzger Fund, Grace Miller Memorial Fund, Delavan Smith Fund, James V. Sweetser Fund","[62.79] *Bien Viage (Bon Voyage), Plate 64 from Los Caprichos*, Francisco José de Goya y Lucientes",Yes,68210
"10766","Accessioned","62.80","Donde vá mama? (Where is mamma going?), Plate 65","Artist: Francisco José de Goya y Lucientes (Spanish, 1746 - 1828)","","Visual Works: Prints","etching and aquatint","Daniel P. Erwin Fund, Jacob Metzger Fund, Grace Miller Memorial Fund, Delavan Smith Fund, James V. Sweetser Fund","[62.80] *Donde vá mama? (Where is mamma going?), Plate 65*, Francisco José de Goya y Lucientes",Yes,68211
"10799","Accessioned","70.65","Morning at Grand Manan","Artist: Alfred T. Bricher (American, 1837 - 1908)","","Visual Works: Paintings","oil on canvas","Martha Delzell Memorial Fund","[70.65] *Morning at Grand Manan*, Bricher, Alfred Thompson",Yes,56247
"10799","Accessioned","70.65","Morning at Grand Manan","Artist: Alfred T. Bricher (American, 1837 - 1908)","","Visual Works: Paintings","oil on canvas","Martha Delzell Memorial Fund","[70.65] *Morning at Grand Manan*, Bricher, Alfred Thompson",Yes,56247
"10799","Accessioned","70.65","Morning at Grand Manan","Artist: Alfred T. Bricher (American, 1837 - 1908)","","Visual Works: Paintings","oil on canvas","Martha Delzell Memorial Fund","[70.65] *Morning at Grand Manan*, Bricher, Alfred Thompson",Yes,56247
"10827","Accessioned","1989.925","masquerade garment (agbogho mmou)","","Igbo people","Costume","cotton, wool","Gift of Mr. and Mrs. Harrison Eiteljorg","[1989.925] *masquerade garment (agbogho mmou)* - Igbo people",Yes,79838
"10855","Accessioned","71.229.22","Adam hearing the voice of the Almighty","Artist: John Martin (English, 1789 - 1854)","","Visual Works: Prints","mezzotint","Gift of Mrs. Peter A. Richardson","[71.229.22] *Adam hearing the voice of the Almighty*, Martin, John",No,74089
"10857","Accessioned","1984.96","evening dress (caftan)","Designer: Halston (American, 1932 - 1990)","","Costume","silk chiffon, tie-dyed","Gift of David W. Campbell","[1984.96] *evening dress (caftan)*, Halston",Yes,80139
"10857","Accessioned","1984.96","evening dress (caftan)","Designer: Halston (American, 1932 - 1990)","","Costume","silk chiffon, tie-dyed","Gift of David W. Campbell","[1984.96] *evening dress (caftan)*, Halston",Yes,80139
"10857","Accessioned","1984.96","evening dress (caftan)","Designer: Halston (American, 1932 - 1990)","","Costume","silk chiffon, tie-dyed","Gift of David W. Campbell","[1984.96] *evening dress (caftan)*, Halston",Yes,80139
"10863","Accessioned","71.218.2","Study Head (Old Woman)","Artist: John O. Adams (American, 1851 - 1927)","","Visual Works: Paintings","oil on canvas","Gift of the Sons of J. Ottis Adams","[71.218.2] *Study Head (Old Woman)*, Adams, John Ottis",Yes,55938
"10877","Accessioned","38.28","Herman and Verman","Artist: Hugh M. Poe (American, 1902 - 1973)","","Visual Works: Paintings","oil on canvas","Gift of Mrs. John N. Carey","[38.28] *Herman and Verman*, Poe, Hugh M.",Yes,56174
"10877","Accessioned","38.28","Herman and Verman","Artist: Hugh M. Poe (American, 1902 - 1973)","","Visual Works: Paintings","oil on canvas","Gift of Mrs. John N. Carey","[38.28] *Herman and Verman*, Poe, Hugh M.",Yes,56174
"10877","Accessioned","38.28","Herman and Verman","Artist: Hugh M. Poe (American, 1902 - 1973)","","Visual Works: Paintings","oil on canvas","Gift of Mrs. John N. Carey","[38.28] *Herman and Verman*, Poe, Hugh M.",Yes,56174
"10887","Accessioned","25.82","St. James Street","Artist: James A. Whistler (American, 1834 - 1903)","","Visual Works: Prints","etching","Bequest of Delavan Smith","[25.82] *St. James Street*, Whistler, James Abbott McNeill",Yes,69792
"10889","Disposed","06.123","Africa","Artist: Daniel C. French (American, 1850 - 1931)","","Visual Works: Sculpture","Plaster Cast Model","Gift of Daniel French","Disposed - [06.123] *Africa*, French, Daniel Chester",Yes,25714
"10922","Accessioned","07.3","A Summer Day","Artist: John H. Twachtman (American, 1853 - 1902)","","Visual Works: Paintings","oil on canvas","John Herron Fund","[07.3] *A Summer Day*, Twachtman, John Henry",Yes,56182
"10922","Accessioned","07.3","A Summer Day","Artist: John H. Twachtman (American, 1853 - 1902)","","Visual Works: Paintings","oil on canvas","John Herron Fund","[07.3] *A Summer Day*, Twachtman, John Henry",Yes,56182
"10938","Accessioned","1994.10","woman's shawl (handira)","","Berber peoples\\Zemmour people","Costume Accessories","wool, cotton","Gift of the Alliance of the Indianapolis Museum of Art","[1994.10] *woman's shawl (handira)* - Berber peoples - Zemmour people",Yes,23073
"10951","Accessioned","74.587","Man Feeding a Child","","","Default","ivory","Gift of Mrs. Richard Ewing, Mrs. Arthur Thruston & Mrs. William Scott","[74.587] *Man Feeding a Child* - Japanese",Yes,22946
"10973","Non-Accessioned IMA-Owned","M526.14A","earring with figure of cupid (one of a pair)","","","Costume","gold","On Loan from Mrs. Chauncey Murch","[M526.14A] *earring with figure of cupid (one of a pair)*",No,846
"10983","Accessioned","68.21.30","letter opener","Artist: Janet P. Bowles (American, 1876 - 1948)","","Default","silver","Gift of Jan and Mira Bowles in memory of their mother, Janet Payne Bowles","[68.21.30] *letter opener*, Bowles, Janet Payne",Yes,18534
"10994","Accessioned","82.182","Aysgarth Force, Richmondshire","Artist: Joseph Mallord William Turner (English, 1775 - 1851)","","Visual Works: Drawings","watercolor over pencil on off-white paper laid down","Bequest of Kurt F. Pantzer, Sr.","[82.182] *Aysgarth Force, Richmondshire*, Turner, Joseph Mallord William",Yes,40480
"11015","Accessioned","1993.215","Love Disarmed pattern two-tined olive fork","Manufacturer: Reed & Barton (American)\\Designer: Charles A. Bennett (American, about 1869 - 1939)","","Tools and Equipment","silver","Gift of Miss Katharine M. Klein","[1993.215] *Love Disarmed pattern two-tined olive fork*, Reed & Barton, Bennett, Charles A.",Yes,56499
"11047","Accessioned","79.687","Luz restirada (Lengthened Light)","Artist: Manuel Alvarez Bravo (Mexican, 1902 - 2002)","","Visual Works: Photographs","gelatin silver print","Gift of Dr. and Mrs. F.E. McAree","[79.687] *Luz restirada (Lengthened Light)*, Alvarez Bravo, Manuel",Yes,10784
"11050","Accessioned","75.167","purse","","","Costume Accessories","metal beads","Gift of Mrs. William A. Nyland","[75.167] *purse* - American",Yes,19287
"11063","Accessioned","82.178","Cochem on the Mosel","Artist: Joseph Mallord William Turner (English, 1775 - 1851)","","Visual Works: Drawings","watercolor and gouache on blue paper","Bequest of Kurt F. Pantzer, Sr.","[82.178] *Cochem on the Mosel*, Turner, Joseph Mallord William",Yes,49405
